Id,Label,name,support,confidence,lift,Modularity Class,In-Degree,Out-Degree,Betweenness Centrality,Closeness Centrality,Eigenvector Centrality,PageRank,Clustering Coefficient,Reciprocated Vertex Pair Ratio,Dynamic Filter
n1112,.,r901,0.00287522,1,4.60053,3,2,1,1474.78528,0.000215,0.001002,0.574176,0,0,
n1111,.,r900,0.00230017,1,4.60053,4,2,1,341.625697,0.000214,0.001148,0.559442,0,0,
n1110,.,r899,0.00345026,1,4.60053,5,2,1,701.791176,0.000214,0.000995,0.576655,0,0,
n1109,.,r898,0.00230017,1,4.60053,5,2,1,223.391111,0.000213,0.001064,0.560111,0,0,
n1108,.,r897,0.00287522,1,4.60053,5,2,1,1169.584388,0.000223,0.001273,0.574408,0,0,
n1107,.,r896,0.00345026,1,4.60053,5,2,1,818.828174,0.000216,0.001103,0.581765,0,0,
n1106,.,r895,0.00287522,1,4.60053,5,2,1,638.31254,0.000216,0.001033,0.575263,0,0,
n1105,.,r894,0.00345026,1,4.60053,4,2,1,2725.996159,0.000223,0.001231,0.629084,0,0,
n43,corruption,72,,,,4,0,3,110.820067,0.000178,1.90E-05,0.705558,0,0,
n1104,.,r893,0.00230017,1,4.60053,4,2,1,3191.808355,0.000215,0.001062,0.654711,0,0,
n63,Egypt,99,,,,4,1,3,3085.493393,0.000171,2.40E-05,1.02672,0,0,
n1103,.,r892,0.00230017,1,4.60053,4,2,1,1613.208957,0.000215,0.001062,0.643231,0,0,
n69,Europe,107,,,,4,0,3,45.581548,0.000171,2.60E-05,0.729521,0,0,
n1102,.,r891,0.00345026,1,4.60053,4,2,1,1278.007419,0.000215,0.001065,0.633128,0,0,
n178,state.building,289,,,,4,0,4,73.103947,0.000171,3.60E-05,0.925155,0,0,
n1101,.,r890,0.00230017,1,4.60053,4,1,1,712.931701,0.000212,0.000878,0.483887,0,0,
n1100,.,r889,0.00287522,1,4.60053,1,3,1,3990.171726,0.000219,0.000883,0.716061,0,0,
n1099,.,r888,0.00287522,0.833333,4.62993,11,3,1,6535.125814,0.000231,0.001806,0.747186,0,0,
n1098,.,r887,0.00287522,0.833333,4.62993,1,2,1,598.927175,0.000198,0.000702,0.566634,0,0,
n1097,.,r886,0.00287522,0.833333,4.62993,3,2,1,969.832789,0.000203,0.000408,0.607921,0,0,
n1096,.,r885,0.00287522,0.833333,4.62993,6,2,1,2338.696541,0.000204,0.000682,0.585972,0,0,
